gps_time,date,time,latitude,longitude,altitude,qx,qy,qz,qw,image
1422874372,2025-02-06,10:52:34,4.764200162621182,-73.99066639384242,2645.2336774021387,-0.6285356802029339,-0.2287701283424095,-0.6781069762690445,0.3045948741908867,1738857154802.jpg
1422874373,2025-02-06,10:52:35,4.764198563171973,-73.99062609464124,2644.8868101937696,-0.6296186796796653,-0.2301469534405355,-0.6786599337387375,0.3000556816745788,1738857155828.jpg
1422874374,2025-02-06,10:52:36,4.764195219525747,-73.99058601919675,2645.1729008182883,-0.6311454098692779,-0.2232428349898955,-0.6789105875809488,0.3014937220541295,1738857156843.jpg
1422874375,2025-02-06,10:52:37,4.764193216373825,-73.99054672436962,2644.844845947809,-0.6314638644282008,-0.2223882665165271,-0.681550662971453,0.2954412422278618,1738857157860.jpg
1422874376,2025-02-06,10:52:38,4.764195052624052,-73.99050353547888,2644.7550911623985,-0.6317675279496291,-0.2199433907358045,-0.682966747011683,0.2933447322013019,1738857158876.jpg
1422874377,2025-02-06,10:52:39,4.764192774315147,-73.99046320676871,2644.343099114485,-0.6338154489853259,-0.2194011047274257,-0.6801883403596634,0.2957785080063694,1738857159893.jpg
1422874378,2025-02-06,10:52:40,4.764189489694943,-73.9904217191199,2644.45065438468,-0.6342675586687633,-0.2163796186101405,-0.6800184314969075,0.2974212911401045,1738857160910.jpg
1422874379,2025-02-06,10:52:41,4.764187058327272,-73.99038483651367,2644.466826780699,-0.6355771932228101,-0.2136305944155052,-0.6811329616029835,0.2940433458786343,1738857161926.jpg
1422874380,2025-02-06,10:52:42,4.764188792651964,-73.99034507136872,2644.701769247651,-0.6364064223450758,-0.2153492580670814,-0.6787219124686686,0.2965605502135522,1738857162944.jpg
1422874381,2025-02-06,10:52:43,4.764192456964531,-73.99030334309747,2644.423955919221,-0.6353853281308776,-0.2183166292590987,-0.6773018184862983,0.2998093037481091,1738857163959.jpg
1422874382,2025-02-06,10:52:44,4.764189501868176,-73.99026692994224,2644.712716636248,-0.635302282828294,-0.2230254626051993,-0.6744699671922983,0.302887707284552,1738857164975.jpg
1422874383,2025-02-06,10:52:45,4.764187675389648,-73.9902269297849,2644.719015751034,-0.6316772346578773,-0.2271644040691473,-0.6774649348506204,0.3007015022045559,1738857165975.jpg
1422874384,2025-02-06,10:52:46,4.7641847911047215,-73.99018677700404,2644.970238850452,-0.6312714144177246,-0.2317810196323866,-0.6771296636489877,0.2987796974356976,1738857166993.jpg
1422874385,2025-02-06,10:52:47,4.764185759656545,-73.99014198855016,2644.9520372338598,-0.6335261330857197,-0.224987022284275,-0.6753181727543033,0.3032671318521623,1738857167993.jpg
1422874387,2025-02-06,10:52:49,4.764181630266058,-73.99005603120409,2645.006014825776,-0.636744972346117,-0.2148710779257538,-0.6765461178844824,0.3011173443721251,1738857169009.jpg
1422874388,2025-02-06,10:52:50,4.764180477218555,-73.99001457814694,2644.998952732421,-0.6405533067964874,-0.2097171033855406,-0.6734531505901578,0.3035969375914309,1738857170025.jpg
1422874389,2025-02-06,10:52:51,4.764183443125893,-73.9899770822566,2645.184150601737,-0.6414208291818411,-0.2065811245774372,-0.6679925668729793,0.3157363686286667,1738857171025.jpg
1422874390,2025-02-06,10:52:52,4.764182869929004,-73.98993091451828,2644.821915491484,-0.6413093953963854,-0.2078832802430216,-0.6673994001687142,0.3163618086125812,1738857172043.jpg
1422874391,2025-02-06,10:52:53,4.764181593762382,-73.98988962120904,2644.4914547065277,-0.6399722377438671,-0.2118009467563161,-0.6635618438882928,0.3244404052416657,1738857173059.jpg
1422874392,2025-02-06,10:52:54,4.764183462904041,-73.98984731142488,2644.1172010367736,-0.6379375222175209,-0.2076283921725576,-0.6622070179158547,0.3337783138482136,1738857174185.jpg
1422874393,2025-02-06,10:52:55,4.764184393470671,-73.98980635463671,2643.5203862963244,-0.6350467579869932,-0.2129996046312685,-0.6648082803014962,0.3307216434993512,1738857175075.jpg
1422874394,2025-02-06,10:52:56,4.764187906212138,-73.98976230776645,2643.691764147952,-0.6346986077056678,-0.2201306632082152,-0.6619326133101263,0.3324838041416466,1738857176098.jpg
1422874395,2025-02-06,10:52:57,4.764189206104801,-73.98972080929823,2643.092422834597,-0.6280240295755274,-0.2293675247844726,-0.6611645897649947,0.3403494169071302,1738857177110.jpg
1422874396,2025-02-06,10:52:58,4.764195045931778,-73.9896797147944,2642.904643150978,-0.6217511594105862,-0.2406093684254766,-0.6548559615822053,0.3559443555356705,1738857178125.jpg
1422874398,2025-02-06,10:53:00,4.764208179457591,-73.98959507134288,2642.530678819865,-0.6237502860032349,-0.2468026389382818,-0.6513124005277491,0.3547058742051752,1738857180158.jpg
1422874399,2025-02-06,10:53:01,4.764212439645834,-73.98955961864898,2642.353946876712,-0.6205428446221186,-0.2474721389642834,-0.6563755717590458,0.3505071007156448,1738857181175.jpg
1422874400,2025-02-06,10:53:02,4.764212422521265,-73.98951635348946,2642.814654451795,-0.6186570731712321,-0.2454100443411828,-0.66025826436975,0.3479888980107586,1738857182179.jpg
1422874401,2025-02-06,10:53:03,4.764208693719722,-73.98947725744236,2642.733633959666,-0.6169575051403607,-0.2570191799505604,-0.6575443974686385,0.3477644372386393,1738857183208.jpg
